ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
BGR,2018,64.0,,0.0733192,71,0.9,0.537,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BGR,2021,72.0,59.9,0.08618928,72,0.9,0.553,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BGR,2022,,,0.07663575,73,0.05,0.553,,,,1,1,0,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BHR,2014,92.0,,0.04412403,79,,0.513,,,,1,2,0,1,1,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BHR,2016,96.0,,0.04860512,78,,0.508,2.0,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BHR,2023,,,,78,,,2.0,,,1,1,1,1,0,3,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
BHS,2012,,,0.05319092,80,,0.385,2.0,,,4,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BHS,2019,62.0,29.6,0.05868006,80,,0.407,2.0,,,4,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BHS,2020,65.0,,0.07593031,81,,0.391,2.0,,,4,1,0,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BLR,2021,94.0,43.9,0.065655,80,0.8,0.509,2.0,,,1,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
