ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag,disaster_risk_oriented,e_spar_mm_global,ghs_index_mm_global,hexp_gdp_mm_global,efforts_A_mm_global,efforts_B_mm_global,uhc_index_mm_global,health_policy_mm_global,national_plan_mm_global,national_strategy_mm_global,recognition_mm_global,participation_event_it_mm_global,decision_event_it_mm_global,leadership_event_it_mm_global,admin_event_it_mm_global,role_type_it_mm_global,disaster_risk_oriented_mm_global,NoExclusion_mm_global,e_spar_mm_year,ghs_index_mm_year,hexp_gdp_mm_year,efforts_A_mm_year,efforts_B_mm_year,uhc_index_mm_year,health_policy_mm_year,national_plan_mm_year,national_strategy_mm_year,recognition_mm_year,participation_event_it_mm_year,decision_event_it_mm_year,leadership_event_it_mm_year,admin_event_it_mm_year,role_type_it_mm_year,disaster_risk_oriented_mm_year
ARG,2019,61.0,56.1,0.10155511,79,0.75,0.651,2.0,,,3,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.8984448899999999,0.5517241379310345,0.6661129568106312,0.8142857142857143,0.75,,0.75,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.5702564517797145,1.0,0.4411764705882353,0.6552315608919382,0.85,0.75,,0.75,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.44958162925279493
ARG,2020,64.0,56.1,0.10450306,79,0.75,0.634,2.0,,,3,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89549694,0.5862068965517241,0.6661129568106312,0.8142857142857143,0.75,,0.75,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.5554489567495773,1.0,0.4782608695652174,0.6174496644295301,0.7903225806451613,0.75,,0.7368421052631579,0.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.5071228379605831
ARM,2010,,,0.09235383,65,1.0,0.393,,,,1,1,1,0,0,2,0.0,1.0,20,,imputed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.90764617,,,0.6142857142857143,0.0,,1.0,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6164743007496448,1.0,,,0.6935483870967742,0.0,,1.0,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.49327415709176453
ARM,2016,,,0.09951949,71,1.0,0.388,,,,1,1,0,1,0,3,0.0,1.0,20,,imputed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.90048051,,,0.7,0.0,,1.0,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.5804813311139125,1.0,,,0.7272727272727273,0.0,,1.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.4711549927820053
ARM,2022,,,0.09962129,71,1.0,0.402,2.0,,2.0,1,1,1,0,0,2,0.0,1.0,20,,imputed,imputed,observed,observed,observed,carried_forward,missing,carried_forward,observed,observed,observed,observed,observed,observed,observed,missing,0.90037871,,,0.7,0.0,,1.0,1.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5799699917105756,1.0,,,0.6612903225806451,0.0,,1.0,1.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.45679942421277603
ATG,2016,81.0,,0.05121902,83,,0.305,2.0,,,4,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.94878098,0.7816091954022989,,0.8714285714285714,0.0,,,1.0,,,0.5,0.0,0.5,0.0,0.0,0.5,0.8230936445786294,1.0,0.7361111111111112,,0.9090909090909091,0.0,,,1.0,,,0.5,0.0,0.5,0.0,0.0,0.5,0.8038989914785989
ATG,2017,71.0,,0.04874939,82,,0.286,2.0,,,4,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.95125061,0.6666666666666666,,0.8571428571428571,0.0,,,1.0,,,0.5,0.0,0.5,0.5,0.0,1.0,0.8354985476303362,1.0,0.5972222222222222,,0.9152542372881356,0.0,,,1.0,,,0.5,0.0,1.0,1.0,0.0,1.0,0.8295089878067515
AUS,2012,99.0,71.1,0.08669226,89,0.2,0.803,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.91330774,0.9885057471264368,0.9152823920265779,0.9571428571428572,0.0,,0.2,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.644912255815971,1.0,0.9866666666666667,0.9024856596558316,0.9846153846153847,0.0,,0.2,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.5382267024274644
AUS,2016,100.0,71.1,0.10089729,89,0.2,0.786,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89910271,1.0,0.9152823920265779,0.9571428571428572,0.0,,0.2,,,,0.5,0.0,0.5,0.5,0.0,1.0,0.5735606687375074,1.0,1.0,0.9125214408233274,1.0,0.0,,0.2,,,,0.5,0.0,0.5,1.0,0.0,1.0,0.4616632697945445
AUS,2018,90.0,71.1,0.10051631,89,0.625,0.785,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.8994836900000001,0.8850574712643678,0.9152823920265779,0.9571428571428572,0.0,,0.625,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.575474323805125,1.0,0.8648648648648649,0.9024856596558316,1.0,0.0,,0.625,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.4656215536887853
AUS,2020,92.0,71.1,0.10660401,89,0.7,0.784,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89339599,0.9080459770114943,0.9152823920265779,0.9571428571428572,0.0,,0.7,,,,0.5,0.0,0.5,0.5,0.0,1.0,0.5448959261067348,1.0,0.8840579710144928,0.9050814956855222,0.9516129032258065,0.0,,0.6842105263157894,,,,0.5,0.0,0.5,0.5,0.0,1.0,0.4943828346290627
