ISO,year,GHEI_raw,GHEI_arith
RUS,2017,,
RUS,2018,,
RUS,2019,,
RUS,2020,0.5607811339623777,0.5779060369391844
RUS,2021,0.4763867481292147,0.5348881096519185
RWA,2010,,
RWA,2013,,
RWA,2017,0.41520368684724773,0.4530136081172336
RWA,2021,0.4132944779290418,0.4493367440058608
RWA,2022,0.4140375781038008,0.4504995362791268
SAU,2013,,
SAU,2022,0.5888501693187634,0.6921012231772877
SAU,2023,0.6525284728201751,0.7182916993677638
SDN,2015,,
SDN,2018,0.0,0.3627567708545432
SDN,2020,0.47580568403873885,0.48283842276525524
SDN,2022,0.3574181925828455,0.3786797627143752
SDN,2023,0.3574181925828455,0.3786797627143752
SEN,2011,,
SEN,2015,,
SEN,2019,0.0,0.37144258047044654
SEN,2022,0.39172572462471106,0.4220592303052256
SGP,2019,,
SGP,2021,,
SLB,2012,,
SLB,2013,,
SLE,2010,,
SLE,2011,,
SLE,2019,,
SLE,2020,,
SLV,2010,,
SLV,2018,,
SLV,2022,0.46094191853822286,0.511523435253458
SLV,2023,0.5481554091286592,0.5615234352534579
SMR,2015,,
SMR,2020,,
SOM,2016,0.2679986400370364,0.32694808518270163
SOM,2017,0.2973421170505078,0.35323692624859165
SOM,2019,0.279794219793817,0.333310183312806
SOM,2021,0.301402129542362,0.37504748375275565
SOM,2022,0.3018281641067819,0.37577391699795987
SRB,2023,,
SSD,2015,,
STP,2013,,
SUR,2013,,
SUR,2017,,
SVK,2017,0.0,0.45895132777998515
SVK,2022,0.0,0.40410897610036184
SVN,2021,0.49029006959783217,0.5556731929410246
SWE,2015,,
SWE,2023,0.3840645579516378,0.45931763877101794
SWZ,2017,0.46790565201700346,0.5213124160330989
SYC,2010,,
SYR,2015,,
SYR,2021,0.355315937728382,0.3917972652631809
TCD,2010,,
TCD,2012,,
TCD,2016,0.4435985308240882,0.4787213629111238
TGO,2012,,
TGO,2017,,
TGO,2022,,
TGO,2023,0.5416981864810806,0.5483824339082132
THA,2011,,
THA,2013,,
THA,2015,,
THA,2016,,
THA,2020,,
THA,2021,0.4983539055154396,0.5695008168994351
THA,2022,0.591529855611919,0.6181610059473387
THA,2023,0.591529855611919,0.6181610059473387
TJK,2019,0.39394403040662446,0.42601839493145616
TKM,2012,,
TLS,2010,,
TLS,2014,0.3365198966357877,0.3545387671327674
TLS,2016,0.38113493546183974,0.3880055952817541
TLS,2021,0.32082009014862983,0.33897445783120495
TON,2014,,
TON,2019,0.3310584276795929,0.4145887764250323
TON,2023,0.33157837426854725,0.4154816335678894
TTO,2011,,
TTO,2022,,
TUN,2010,,
TUN,2014,,
TUN,2019,0.4218877794626259,0.4613380288477448
TUR,2010,,
TUR,2016,,
TUR,2018,,
TUR,2022,,
TZA,2010,,
TZA,2012,,
TZA,2016,,
TZA,2017,,
TZA,2020,,
UGA,2014,,
UGA,2020,0.6483381664183451,0.6772432424300646
UKR,2013,,
UKR,2023,,
URY,2014,,
URY,2022,,
USA,2010,,
USA,2011,,
USA,2012,,
USA,2013,,
USA,2014,,
USA,2015,,
USA,2016,,
USA,2017,,
USA,2018,0.6615875875647295,0.6969243922136368
USA,2019,0.5570350006694283,0.6482169389410364
USA,2020,0.5505332714667439,0.6411495685272858
USA,2021,0.5562610676530408,0.6466290546919801
USA,2022,0.791883906406548,0.8006934404869972
USA,2023,0.7040954229519769,0.7256934404869972
UZB,2011,,
UZB,2016,,
UZB,2019,0.492051640756169,0.5338547500987912
VNM,2015,,
VNM,2016,0.5238677151014092,0.6126055446825447
VNM,2017,0.6161678900992773,0.6517986286116012
WSM,2010,,
WSM,2011,,
WSM,2013,,
YEM,2010,0.33800016701806845,0.35583184721798405
YEM,2013,0.3387397047888523,0.3566627193327862
YEM,2022,0.33518824574682754,0.352722074554943
ZAF,2013,,
ZAF,2019,,
ZAF,2021,0.545631309574153,0.5624785397212381
ZMB,2017,0.49202978861812674,0.5877129732715553
ZMB,2021,0.47230720892782935,0.5696321495427149
ZWE,2011,,
ZWE,2018,,
ZWE,2021,0.42111921100494687,0.47142259510160806
